_id,city_code,city_name,name,street_type
63fd0ccf8cbfb5572cacb412,7110100000,Черкаси,Байди Вишневецького,вулиця
63fd0ccf8cbfb5572cacb423,7110100000,Черкаси,Братів Савченків,вулиця
63fd0ccf8cbfb5572cacb427,7110100000,Черкаси,"В'ячеслава Чорновола",вулиця
63fd0ccf8cbfb5572cacb435,7110100000,Черкаси,Водоп’янова,провулок
63fd0ccf8cbfb5572cacb455,7110100000,Черкаси,Гризодубової,провулок
63fd0ccf8cbfb5572cacb48b,7110100000,Черкаси,Капітана Пилипенка,вулиця
63fd0ccf8cbfb5572cacb492,7110100000,Черкаси,Кірова,провулок
63fd0ccf8cbfb5572cacb493,7110100000,Черкаси,Клубний,узвіз
63fd0ccf8cbfb5572cacb4ac,7110100000,Черкаси,Крупської,вулиця
63fd0ccf8cbfb5572cacb4b5,7110100000,Черкаси,Лермонтова,провулок
63fd0ccf8cbfb5572cacb4bc,7110100000,Черкаси,Луговий,провулок
63fd0ccf8cbfb5572cacb4da,7110100000,Черкаси,Набережна,вулиця
63fd0ccf8cbfb5572cacb4e0,7110100000,Черкаси,Некрасова,провулок
63fd0ccf8cbfb5572cacb4fd,7110100000,Черкаси,Пацаєва,вулиця
63fd0ccf8cbfb5572cacb52b,7110100000,Черкаси,Рєпіна,вулиця
63fd0ccf8cbfb5572cacb534,7110100000,Черкаси,Романа,вулиця
63fd0ccf8cbfb5572cacb547,7110100000,Черкаси,Сіверянський,провулок
63fd0ccf8cbfb5572cacb54d,7110100000,Черкаси,Смілянський,провулок
63fd0ccf8cbfb5572cacb572,7110100000,Черкаси,Уманський,провулок
63fd0ccf8cbfb5572cacb573,7110100000,Черкаси,Університетська,вулиця
63fd0ccf8cbfb5572cacb584,7110100000,Черкаси,Чайковського,вулиця
63fd0ccf8cbfb5572cacb58b,7110100000,Черкаси,Черкаський,провулок
63fd0ccf8cbfb5572cacb400,7110100000,Черкаси,38-ї Армії,вулиця
63fd0ccf8cbfb5572cacb42e,7110100000,Черкаси,Вергунівський,провулок
63fd0ccf8cbfb5572cacb41c,7110100000,Черкаси,Богданівський,провулок
63fd0ccf8cbfb5572cacb421,7110100000,Черкаси,Бородіна,вулиця
63fd0ccf8cbfb5572cacb422,7110100000,Черкаси,Бородіна,провулок
